genome,fitness,behavior_descriptor
"[ 0.52344502  0.65535008 -0.25520751 -0.08361036  0.6301811   1.00393183
 -0.91591748]",0,[ 0.523  0.655 -0.255]
"[-0.19780049  0.84142471 -0.42639116 -0.3896922   0.45946596 -0.01955408
  0.73482144]",0,[-0.198  0.841 -0.426]
"[-0.39442735  0.68763061 -0.56101637 -0.50651094  0.63519551  0.94549212
  0.76362713]",0,[-0.394  0.688 -0.561]
"[ 0.31666973  0.17319011  0.90434136  0.25321353 -0.43624947 -0.24741597
  0.47148329]",0,[0.317 0.173 0.904]
"[-0.87851415  0.50355102 -0.42663636 -0.96838524 -0.48984148  1.01928105
 -0.56897718]",0,[-0.879  0.504 -0.427]
"[ 0.43636878 -0.36091463 -0.68058183  0.15681494  0.58588768 -0.97327869
  0.90313679]",0,[ 0.436 -0.361 -0.681]
"[-0.95900725 -0.01067652 -0.02681926  0.07695033 -0.25701272  0.76552254
  0.36413386]",0,[-0.959 -0.011 -0.027]
"[-7.27632353e-01  6.34137395e-01 -1.55101457e-01 -4.01251106e-01
  3.85970608e-01 -9.64493286e-01  3.94697066e-04]",0,[-0.728  0.634 -0.155]
"[-0.38065691 -0.8324506   0.24977112 -0.64284824 -0.16356176  0.95630269
 -0.07548615]",0,[-0.381 -0.832  0.25 ]
"[ 0.97112165  0.55471957  0.17047985 -0.76710458 -0.64815056 -0.59113801
  0.10850712]",0,[0.971 0.555 0.17 ]
"[ 0.97146404  0.68344722 -0.18994475  0.54418859  0.89868215  0.96313558
  1.00764386]",0,[ 0.971  0.683 -0.19 ]
"[ 0.45042192  0.50704777 -0.32010215 -0.23862285  0.51532093 -0.90834352
  0.35310447]",0,[ 0.45   0.507 -0.32 ]
"[-0.58719343  0.55292738  0.88764759 -0.91386622 -0.98584439 -0.09835207
  0.34230836]",0,[-0.587  0.553  0.888]
"[-0.81078138 -0.98343471 -0.34939492  0.38104221 -0.97408428 -0.20467161
 -0.78243515]",0,[-0.811 -0.983 -0.349]
"[-0.58376037  0.17833699 -0.28069177 -0.31602531  0.84495124 -0.6699211
  0.32420248]",0,[-0.584  0.178 -0.281]
