genome,fitness,behavior_descriptor
"[-0.27014464 -0.66724709  0.6101411  -0.75977979  0.58005818  0.18707014
 -0.50156625]",0,[-0.27  -0.667  0.61 ]
"[-0.59969417  0.43275968 -0.79273239 -0.6325114   0.6967338  -0.6817802
  0.20861068]",0,[-0.6    0.433 -0.793]
"[ 0.31720641 -0.74629344 -0.77313773  0.25358651  0.42358735 -0.32138289
 -0.06501425]",0,[ 0.317 -0.746 -0.773]
"[ 0.4761527   0.00696354  0.9301781  -0.82839435 -0.15941102 -0.33589409
  0.11006579]",0,[0.476 0.007 0.93 ]
"[-0.5445791  -0.88987322 -0.35890507  0.85108802 -0.96322681  0.44526753
  0.89337515]",0,[-0.545 -0.89  -0.359]
"[-0.60242356 -0.40279615 -0.74123399 -0.78216628 -0.72852391  0.73262464
 -0.87744943]",0,[-0.602 -0.403 -0.741]
"[ 0.03368058  0.29769502 -0.77686186 -0.20597202 -0.3818639   0.73610036
  0.38171136]",0,[ 0.034  0.298 -0.777]
"[-0.35830998 -0.3555041   0.2941527  -0.33751974 -0.05796943 -0.58894848
  0.54446228]",0,[-0.358 -0.356  0.294]
"[ 0.5229125   0.64118335 -0.81957604 -0.91990743 -0.60978082  0.9049396
  0.17803874]",0,[ 0.523  0.641 -0.82 ]
"[ 0.91413237  0.45328041 -0.05929266  0.08564947  0.89524378  0.74155241
 -0.62310419]",0,[ 0.914  0.453 -0.059]
"[ 0.52136027  0.97705859 -0.67966295  0.97766825  0.66719567 -0.65063512
  0.41027872]",0,[ 0.521  0.977 -0.68 ]
"[ 0.45336716 -0.82395284 -0.1691206  -0.42236177 -0.35994873  0.04188647
 -0.35879346]",0,[ 0.453 -0.824 -0.169]
"[-0.64724682 -0.908991   -0.25626001 -0.48549037 -0.88514067  0.97736218
 -0.38715431]",0,[-0.647 -0.909 -0.256]
"[ 0.8557544  -0.50596065 -0.76412953 -0.44709752  0.73450753 -0.59766841
 -0.51719299]",0,[ 0.856 -0.506 -0.764]
"[ 0.33939258 -0.40048729  0.18716044 -0.15041763 -0.93938537  0.88137875
 -0.20712673]",0,[ 0.339 -0.4    0.187]
"[-0.03561444  0.17853729 -0.62394715 -0.20782423  0.30008293  0.73580005
  0.93847563]",0,[-0.036  0.179 -0.624]
"[ 0.28751447 -0.25916217  0.6658877   0.86534336 -0.53722291 -0.53597055
  0.76787126]",0,[ 0.288 -0.259  0.666]
"[-0.74148611  0.31456791  0.02470635  0.6696583  -0.3136891  -0.81641755
  0.61835731]",0,[-0.741  0.315  0.025]
"[ 0.76235963 -0.96985795 -0.76593606  0.15820629  0.51645368  0.65622655
  0.81385636]",0,[ 0.762 -0.97  -0.766]
"[ 0.11886898  0.87877941 -0.23851778  0.32042861  0.94818183 -0.30819918
 -0.44293755]",0,[ 0.119  0.879 -0.239]
"[ 0.75377165  0.29837454  0.02810233 -0.78998709  0.24871806 -0.2893625
  0.87960263]",0,[0.754 0.298 0.028]
"[-0.17990352  0.83491435 -0.20392738  0.4853939   0.53030699 -0.35483574
 -0.13306145]",0,[-0.18   0.835 -0.204]
"[0.301307   0.07388339 0.73931524 0.46475494 0.38390212 0.49626841
 0.56790691]",0,[0.301 0.074 0.739]
"[ 0.00675893 -0.76409215 -0.45501819  0.77077716  0.89637807 -0.72467586
 -0.21459596]",0,[ 0.007 -0.764 -0.455]
